layer,id,perimeter_mm,area_mm2
OUTER,0,2999.34,499999.54
HOLE,0,228.61,2074.67
HOLE,1,232.85,2060.25
HOLE,2,226.14,2053.27
HOLE,3,230.01,1853.82
HOLE,4,195.99,1739.19
HOLE,5,198.12,1661.13
HOLE,6,204.52,1640.89
HOLE,7,199.16,1596.17
HOLE,8,201.71,1589.98
HOLE,9,198.87,1580.46
HOLE,10,194.52,1578.97
HOLE,11,180.9,1527.18
HOLE,12,204.86,1517.29
HOLE,13,199.85,1510.16
HOLE,14,189.8,1506.75
HOLE,15,200.86,1492.03
HOLE,16,196.84,1477.31
HOLE,17,175.35,1470.48
HOLE,18,184.07,1454.5
HOLE,19,176.34,1452.79
HOLE,20,175.75,1447.12
HOLE,21,185.38,1391.56
HOLE,22,183.02,1379.08
HOLE,23,172.23,1370.82
HOLE,24,157.68,1349.3
HOLE,25,182.64,1325.41
HOLE,26,195.5,1321.29
HOLE,27,162.94,1308.87
HOLE,28,185.34,1294.0
HOLE,29,166.56,1261.64
HOLE,30,204.82,1239.15
HOLE,31,186.45,1239.14
HOLE,32,188.33,1225.8
HOLE,33,183.11,1220.44
HOLE,34,166.68,1178.24
HOLE,35,190.37,1174.21
HOLE,36,164.06,1171.5
HOLE,37,209.33,1167.27
HOLE,38,148.62,1155.72
HOLE,39,155.5,1147.47
HOLE,40,156.84,1134.6
HOLE,41,177.79,1108.65
HOLE,42,161.59,1094.7
HOLE,43,160.89,1088.08
HOLE,44,235.31,1068.47
HOLE,45,198.49,1062.66
HOLE,46,217.64,1059.2
HOLE,47,155.29,1056.7
HOLE,48,159.58,1044.2
HOLE,49,153.6,1035.86
HOLE,50,161.34,1033.09
HOLE,51,141.78,1006.68
HOLE,52,147.24,1006.06
HOLE,53,157.47,997.48
HOLE,54,166.95,983.69
HOLE,55,157.78,983.21
HOLE,56,145.79,982.13
HOLE,57,134.32,981.74
HOLE,58,156.76,977.08
HOLE,59,165.91,968.11
HOLE,60,207.31,967.85
HOLE,61,146.61,967.7
HOLE,62,145.99,966.88
HOLE,63,202.42,966.32
HOLE,64,171.89,963.67
HOLE,65,178.79,959.06
HOLE,66,148.25,942.54
HOLE,67,136.29,935.0
HOLE,68,156.9,934.03
